filename,gt_x,gt_y,gt_z,gt_qx,gt_qy,gt_qz,gt_qw,pred_x,pred_y,pred_z,pred_qx,pred_qy,pred_qz,pred_qw,trans_err_m,rot_err_deg
m_251203_020525485_m0d082_0d067_m0d158_0d486_m0d001_0d001_0d874_0d190_1.png,-0.082000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,-9.293342,7.076672,-16.371965,0.583050,0.005865,-0.009581,0.812358,19.921770,13.260975
m_251203_020527800_m0d082_0d067_m0d158_0d486_m0d001_0d001_0d874_0d190_1.png,-0.082000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,-9.293342,7.076672,-16.371965,0.583050,0.005865,-0.009581,0.812358,19.921770,13.260975
m_251203_020541853_m0d072_0d067_m0d158_0d486_m0d001_0d001_0d874_0d186_1.png,-0.072000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,-7.965248,6.756110,-15.621943,0.592653,0.009244,-0.011964,0.805316,18.605944,14.669250
m_251203_020542307_m0d032_0d067_m0d158_0d486_m0d001_0d001_0d874_0d175_1.png,-0.032000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,-3.676712,6.738522,-15.406657,0.585651,0.008509,-0.018720,0.810303,17.038622,13.790977
m_251203_020542681_m0d002_0d067_m0d158_0d486_m0d001_0d001_0d874_0d172_1.png,-0.002000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,-1.183019,6.819892,-15.590037,0.581745,0.007034,-0.018481,0.813131,16.886211,13.230476
m_251203_020543328_0d028_0d067_m0d158_0d486_m0d001_0d001_0d874_0d174_1.png,0.028000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,2.279453,6.869092,-15.792581,0.574259,0.001551,-0.013479,0.818562,17.198187,12.066897
m_251203_020543865_0d058_0d067_m0d158_0d486_m0d001_0d001_0d874_0d181_1.png,0.058000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,5.254437,7.024614,-16.223093,0.564327,-0.005106,-0.008942,0.825487,18.261942,10.633100
m_251203_020544401_0d088_0d067_m0d158_0d486_m0d001_0d001_0d874_0d193_1.png,0.088000,0.067000,-0.158000,0.485982,-0.001000,0.001000,0.873968,8.462987,7.175569,-16.901896,0.549591,-0.000931,-0.007114,0.835403,20.025738,8.576683
m_251203_020604099_0d088_0d038_m0d153_0d486_m0d001_0d001_0d874_0d180_1.png,0.088000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,8.900336,3.521636,-15.357423,0.555026,0.000118,-0.001117,0.831832,17.915565,9.275535
m_251203_020605342_0d058_0d038_m0d153_0d486_m0d001_0d001_0d874_0d168_1.png,0.058000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,5.151690,3.528976,-15.418855,0.565520,-0.009880,0.003745,0.824667,16.467512,10.779958
m_251203_020605676_0d028_0d038_m0d153_0d486_m0d001_0d001_0d874_0d160_1.png,0.028000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,2.250678,3.412014,-15.079839,0.569510,-0.004872,-0.001128,0.821969,15.463984,11.290699
m_251203_020606020_0d008_0d038_m0d153_0d486_m0d001_0d001_0d874_0d158_1.png,0.008000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,0.053186,3.139628,-14.505649,0.573702,-0.000802,-0.002835,0.819059,14.684027,11.872338
m_251203_020606333_m0d022_0d038_m0d153_0d486_m0d001_0d001_0d874_0d159_1.png,-0.022000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,-3.328493,3.536439,-14.787534,0.576180,0.005191,-0.003833,0.817297,15.405893,12.245581
m_251203_020606665_m0d052_0d038_m0d153_0d486_m0d001_0d001_0d874_0d166_1.png,-0.052000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,-6.474452,3.744814,-14.904508,0.579119,0.005618,-0.001463,0.815223,16.510462,12.650729
m_251203_020607058_m0d082_0d038_m0d153_0d486_m0d001_0d001_0d874_0d178_1.png,-0.082000,0.038000,-0.153000,0.485982,-0.001000,0.001000,0.873968,-8.459907,4.280443,-15.032724,0.581734,-0.000882,0.001012,0.813378,17.595280,12.991406
